0, 0
0.001, 0
0.002, 0
0.003, 0
0.004, 0
0.005, 0
0.006, 0
0.007, 0
0.008, 0
0.009, 0
0.01, 3.41293e-14
0.011, 4.8449e-13
0.012, 5.40176e-12
0.013, 4.45144e-11
0.014, 2.86511e-10
0.015, 1.49429e-09
0.016, 6.50177e-09
0.017, 2.42628e-08
0.018, 7.94873e-08
0.019, 2.31229e-07
0.02, 2.57045e-07
0.021, 5.59344e-07
0.022, 1.12387e-06
0.023, 2.12536e-06
0.024, 3.11994e-06
0.025, 5.25358e-06
0.026, 8.51296e-06
0.027, 1.25743e-05
0.028, 1.9117e-05
0.029, 2.82622e-05
0.03, 4.11634e-05
0.031, 5.85028e-05
0.032, 8.22962e-05
0.033, 0.000113363
0.034, 0.000154646
0.035, 0.000207553
0.036, 0.000275301
0.037, 0.000361409
0.038, 0.000466995
0.039, 0.000601441
0.04, 0.000763405
0.041, 0.000960131
0.042, 0.00119957
0.043, 0.00148054
0.044, 0.00181642
0.045, 0.00221196
0.046, 0.00266594
0.047, 0.00319702
0.048, 0.00380953
0.049, 0.00449946
0.05, 0.00528421
0.051, 0.00617965
0.052, 0.00717209
0.053, 0.00826504
0.054, 0.00950809
0.055, 0.0108675
0.056, 0.0123451
0.057, 0.0139614
0.058, 0.015745
0.059, 0.0176614
0.06, 0.0197116
0.061, 0.021925
0.062, 0.0243213
0.063, 0.0268607
0.064, 0.029542
0.065, 0.0323829
0.066, 0.0354328
0.067, 0.0386281
0.068, 0.0419658
0.069, 0.0454427
0.07, 0.0491271
0.071, 0.0529731
0.072, 0.0569548
0.073, 0.0610677
0.074, 0.0421874
0.075, 0.044514
0.076, 0.0468461
0.077, 0.0491787
0.078, 0.051506
0.079, 0.0538221
0.08, 0.0562392
0.081, 0.0586598
0.082, 0.0610629
0.083, 0.0634435
0.084, 0.0657968
0.085, 0.0682713
0.086, 0.0709454
0.087, 0.0736098
0.088, 0.076261
0.089, 0.0788955
0.09, 0.0815101
0.091, 0.0843337
0.092, 0.0873198
0.093, 0.0903032
0.094, 0.0932812
0.095, 0.0962514
0.096, 0.0992112
0.097, 0.102296
0.098, 0.105647
0.099, 0.109002
0.1, 0.112357
0.101, 0.115713
0.102, 0.119065
0.103, 0.122413
0.104, 0.12602
0.105, 0.129762
0.106, 0.13351
0.107, 0.13726
0.108, 0.141013
0.109, 0.144765
0.11, 0.148516
0.111, 0.152436
0.112, 0.156505
0.113, 0.160577
0.114, 0.16465
0.115, 0.168722
0.116, 0.172883
0.117, 0.177092
0.118, 0.172398
0.119, 0.174806
0.12, 0.178963
0.121, 0.183237
0.122, 0.187517
0.123, 0.191796
0.124, 0.196071
0.125, 0.200342
0.126, 0.204608
0.127, 0.209091
0.128, 0.213635
0.129, 0.218173
0.13, 0.222704
0.131, 0.227228
0.132, 0.231741
0.133, 0.236244
0.134, 0.240736
0.135, 0.245239
0.136, 0.250094
0.137, 0.254936
0.138, 0.259765
0.139, 0.264578
0.14, 0.269375
0.141, 0.274156
0.142, 0.278918
0.143, 0.283661
0.144, 0.288385
0.145, 0.293249
0.146, 0.298145
0.147, 0.30302
0.148, 0.307873
0.149, 0.312702
0.15, 0.317508
0.151, 0.322289
0.152, 0.327045
0.153, 0.331775
0.154, 0.336479
0.155, 0.341296
0.156, 0.34612
0.157, 0.350916
0.158, 0.355683
0.159, 0.360421
0.16, 0.36513
0.161, 0.369808
0.162, 0.374457
0.163, 0.379074
0.164, 0.383661
0.165, 0.388238
0.166, 0.392903
0.167, 0.397535
0.168, 0.402135
0.169, 0.406701
0.17, 0.411234
0.171, 0.415734
0.172, 0.4202
0.173, 0.424633
0.174, 0.429031
0.175, 0.433396
0.176, 0.437727
0.177, 0.442111
0.178, 0.446484
0.179, 0.450822
0.18, 0.455125
0.181, 0.459393
0.182, 0.463626
0.183, 0.467823
0.184, 0.471986
0.185, 0.476114
0.186, 0.480207
0.187, 0.484265
0.188, 0.488288
0.189, 0.492327
0.19, 0.496362
0.191, 0.500361
0.192, 0.504325
0.193, 0.508254
0.194, 0.512148
0.195, 0.516008
0.196, 0.519833
0.197, 0.523624
0.198, 0.52738
0.199, 0.531102
0.2, 0.534791
0.201, 0.538446
0.202, 0.542105
0.203, 0.545752
0.204, 0.549366
0.205, 0.552946
0.206, 0.556493
0.207, 0.560007
0.208, 0.563488
0.209, 0.566936
0.21, 0.570352
0.211, 0.573736
0.212, 0.577088
0.213, 0.580408
0.214, 0.583697
0.215, 0.586955
0.216, 0.590213
0.217, 0.593453
0.218, 0.596661
0.219, 0.599839
0.22, 0.602986
0.221, 0.606104
0.222, 0.609191
0.223, 0.612248
0.224, 0.615276
0.225, 0.618275
0.226, 0.621245
0.227, 0.624187
0.228, 0.6271
0.229, 0.629985
0.23, 0.632842
0.231, 0.6357
0.232, 0.638534
0.233, 0.64134
0.234, 0.644119
0.235, 0.646871
0.236, 0.649596
0.237, 0.652295
0.238, 0.654968
0.239, 0.657614
0.24, 0.660235
0.241, 0.662831
0.242, 0.665402
0.243, 0.667947
0.244, 0.670468
0.245, 0.672965
0.246, 0.675437
0.247, 0.677908
0.248, 0.680356
0.249, 0.682779
0.25, 0.685179
0.251, 0.687556
0.252, 0.68991
0.253, 0.692241
0.254, 0.694549
0.255, 0.696836
0.256, 0.6991
0.257, 0.701342
0.258, 0.703563
0.259, 0.705762
0.26, 0.70794
0.261, 0.710097
0.262, 0.712233
0.263, 0.71435
0.264, 0.716462
0.265, 0.718553
0.266, 0.720625
0.267, 0.722676
0.268, 0.724708
0.269, 0.726721
